,number_clusters,epsilon,min_sample,n_noise,cl0,cl1,cl2,cl3,cl4,cl5,cl6,cl7,cl8
53,9.0,0.6,900.0,195521.0,18305.0,5614.0,2307.0,3567.0,1878.0,1799.0,1781.0,1103.0,0.0
54,29.0,0.7,100.0,28310.0,182678.0,18305.0,121.0,134.0,131.0,239.0,182.0,112.0,105.0
55,25.0,0.7,200.0,49637.0,158917.0,18305.0,385.0,297.0,295.0,309.0,196.0,207.0,215.0
56,36.0,0.7,300.0,77466.0,124471.0,502.0,18305.0,377.0,492.0,361.0,401.0,297.0,251.0
57,33.0,0.7,400.0,113665.0,84341.0,430.0,18305.0,426.0,683.0,621.0,437.0,461.0,329.0
58,18.0,0.7,500.0,141701.0,61825.0,18305.0,742.0,553.0,579.0,602.0,641.0,846.0,575.0
59,12.0,0.7,600.0,159341.0,46804.0,18305.0,745.0,1250.0,660.0,1290.0,710.0,966.0,603.0
60,13.0,0.7,700.0,168367.0,18305.0,24478.0,749.0,12867.0,977.0,1106.0,963.0,932.0,1074.0
61,10.0,0.7,800.0,175948.0,18305.0,10687.0,20592.0,1523.0,1043.0,935.0,1223.0,835.0,784.0
62,8.0,0.7,900.0,182319.0,18305.0,9416.0,14061.0,2463.0,3062.0,1215.0,1034.0,0.0,0.0
63,9.0,0.8,100.0,9314.0,204191.0,18305.0,8.0,2.0,24.0,11.0,18.0,2.0,0.0
64,9.0,0.8,200.0,18901.0,194344.0,18305.0,39.0,25.0,18.0,148.0,4.0,91.0,0.0
65,13.0,0.8,300.0,32024.0,180171.0,18305.0,25.0,432.0,70.0,189.0,98.0,165.0,63.0
66,13.0,0.8,400.0,55869.0,155231.0,18305.0,406.0,375.0,633.0,199.0,5.0,301.0,260.0
67,10.0,0.8,500.0,85887.0,123780.0,18305.0,478.0,417.0,1365.0,376.0,294.0,485.0,488.0
68,10.0,0.8,600.0,113724.0,94099.0,18305.0,958.0,707.0,672.0,1463.0,754.0,818.0,375.0
69,4.0,0.8,700.0,136718.0,75430.0,18305.0,1422.0,0.0,0.0,0.0,0.0,0.0,0.0
70,7.0,0.8,800.0,144730.0,64739.0,18305.0,1256.0,1243.0,802.0,800.0,0.0,0.0,0.0
71,5.0,0.8,900.0,155012.0,18305.0,56076.0,1454.0,1028.0,0.0,0.0,0.0,0.0,0.0
72,4.0,0.9,100.0,1656.0,211913.0,18305.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,3.0,0.9,200.0,4097.0,209473.0,18305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,6.0,0.9,300.0,7295.0,206271.0,18305.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
75,35.0,0.9,400.0,10856.0,202641.0,18305.0,10.0,6.0,1.0,1.0,1.0,2.0,1.0
76,31.0,0.9,500.0,18177.0,195256.0,18305.0,4.0,1.0,3.0,1.0,1.0,1.0,2.0
77,26.0,0.9,600.0,26536.0,186969.0,18305.0,7.0,6.0,1.0,5.0,1.0,9.0,1.0
78,25.0,0.9,700.0,38579.0,174846.0,18305.0,3.0,2.0,15.0,20.0,1.0,8.0,6.0
79,14.0,0.9,800.0,49040.0,164362.0,18305.0,16.0,29.0,1.0,7.0,1.0,62.0,3.0
80,5.0,0.9,900.0,60632.0,152868.0,18305.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0
